Дата;SQ UN Equity;ZM UW Equity;AMD UW Equity;NVDA UW Equity;PYPL UW Equity
30.11.2022;67,77;75,43;77,63;169,23;78,41
31.10.2022;60,07;83,44;60,06;134,97;83,58
30.09.2022;54,99;73,59;63,36;121,39;86,07
31.08.2022;68,91;80,40;84,87;150,94;93,44
31.07.2022;76,06;103,86;94,47;181,63;86,53
30.06.2022;61,46;107,97;76,47;151,59;69,84
31.05.2022;87,51;107,45;101,86;186,72;85,21
30.04.2022;99,54;99,57;85,52;185,47;87,93
31.03.2022;135,60;117,23;109,34;272,86;115,65
28.02.2022;126,62;131,50;122,7;243,85;111,08
31.01.2022;121,03;153,08;113,28;244,86;170,28
31.12.2021;162,60;184,61;144,33;294,11;189,23
30.11.2021;208,33;211,41;158,37;326,76;184,89
31.10.2021;254,50;274,65;120,23;255,67;232,59
30.09.2021;239,84;261,50;102,9;207,16;260,21
31.08.2021;268,07;289,50;110,72;223,85;288,66
31.07.2021;247,26;378,10;106,19;194,99;275,53
30.06.2021;243,80;387,03;93,93;200,02;291,48
31.05.2021;222,52;331,53;80,08;162,45;260,02
30.04.2021;244,82;319,57;81,62;150,10;262,29
31.03.2021;227,05;321,29;78,5;133,48;242,84
28.02.2021;230,03;373,61;84,5;137,15;259,85
31.01.2021;215,96;372,07;85,64;129,90;234,31
31.12.2020;217,64;337,32;91,71;130,55;234,2
30.11.2020;210,96;478,36;92,66;134,01;214,12
31.10.2020;154,88;460,91;75,29;125,34;186,13
30.09.2020;162,55;470,11;81,99;135,30;197,03
31.08.2020;159,56;325,10;90,82;133,74;204,14
31.07.2020;129,85;253,91;77,43;106,15;196,07
30.06.2020;104,94;253,54;52,6;94,98;174,23
31.05.2020;81,08;179,48;53,8;88,75;155,01
30.04.2020;65,14;135,17;52,39;73,07;123
31.03.2020;52,38;146,12;45,48;65,90;95,74
28.02.2020;83,33;105,00;45,48;67,52;107,99
31.01.2020;74,69;76,30;47;59,11;113,89
31.12.2019;62,56;68,04;45,86;58,83;108,17
30.11.2019;69,12;74,50;39,15;54,19;108,01
